행정구역명,총 인구수
가평군,62389
고양시덕양구,493506
고양시일산동구,293740
고양시일산서구,284559
과천시,84278
광명시,278744
광주시,392998
구리시,186079
군포시,259307
김포시,485749
남양주시,684466
남양주시 화도읍남부출장소,35623
남양주시 화도읍동부출장소,13254
동두천시,87563
부천시소사구,228977
부천시오정구,153830
부천시원미구,392260
성남시분당구,471067
성남시수정구,237477
성남시중원구,209221
송탄출장소,0
수원시권선구,365041
수원시영통구,362095
수원시장안구,274538
수원시팔달구,195682
시흥시,518844
안산시단원구,294787
안산시상록구,331013
안성시,191247
안양시동안구,317054
안양시만안구,229107
안중출장소,0
양주시,278546
양평군,126129
여주시,114522
연천군,41081
오산시,235681
용인시기흥구,437307
용인시수지구,376250
용인시처인구,267936
의왕시,155740
의정부시,461661
이천시,221704
파주시,505659
평택시,593549
포천시,142429
풍양출장소,0
하남시,329827
화성시,952194
화성시동부출장소,0
화성시동탄출장소,0
