시군구,총 인구수,총출근발생량,주거공간 외 충전소 개수,전기차 수,앵커시설
가평군,0.023386780783503258,0.018145058653265746,0.02371732817037754,0.010165326184092952,0.13333333333333333
고양시덕양구,0.49656299493037637,0.4289676104036518,0.21781219748305905,0.5261394101876676,0.6666666666666666
고양시일산동구,0.2773080836295827,0.23173797420177503,0.21297192642787996,0.27569258266309205,0.8
고양시일산서구,0.2672313972032009,0.22418904799652858,0.18393030009680542,0.26418677390527256,0.4666666666666667
과천시,0.04741124317181293,0.03088175045877787,0.057115198451113264,0.04758713136729224,0.13333333333333333
광명시,0.2608490933616357,0.3015158457148814,0.16795740561471442,0.18878462913315458,0.6666666666666666
광주시,0.386249565092365,0.3154791774240077,0.08954501452081318,0.33579088471849866,0.2
구리시,0.1591438164091611,0.17251987229369542,0.060987415295256545,0.07082216264521894,0.3333333333333333
군포시,0.23951584490617517,0.2942626706326407,0.11181026137463698,0.15996425379803397,0.3333333333333333
김포시,0.4880492320930554,0.3664671558681144,0.27734753146176183,0.8166890080428955,0.7333333333333333
남양주시,0.7061528043173568,0.596643952010744,0.4123910939012585,0.7750223413762288,1.0
동두천시,0.05101672350191469,0.05461699017475983,0.019845111326234274,0.015415549597855238,0.2
부천시소사구,0.20622688952961926,0.25976887776993957,0.031945788964182,0.11617515638963359,0.4
부천시오정구,0.12374864588695365,0.25976887776993957,0.038722168441432725,0.04769883824843611,0.0
부천시원미구,0.3854395667716298,0.25976887776993957,0.19215876089060988,0.2650804289544236,0.8666666666666667
성남시분당구,0.47193487525696587,0.3931696035722857,0.46902226524685386,0.6142761394101877,0.6
성남시수정구,0.21555613848117627,0.2363706003990216,0.17812197483059053,0.2955764075067024,0.3333333333333333
성남시중원구,0.1845435198488003,0.2588719276427908,0.16553727008712488,0.25435656836461124,0.06666666666666667
수원시권선구,0.3555651165113438,0.36023941295826273,0.24298160696999035,0.3374664879356568,0.6666666666666666
수원시영통구,0.35233170858060414,0.34232950068968193,0.2952565343659245,0.36260053619302945,0.6
수원시장안구,0.25623276146866525,0.2515290575478353,0.11519845111326235,0.2525692582663092,0.5333333333333333
수원시팔달구,0.16968367260702022,0.18381901970623674,0.09293320425943855,0.153485254691689,0.4
시흥시,0.5243729372756178,0.5760989457199722,0.3543078412391094,0.36047810545129577,0.7333333333333333
안산시단원구,0.27845722758867447,0.4097898470093986,0.24394966118102615,0.23357908847184983,0.6
안산시상록구,0.3182173890615105,0.3563146501046038,0.08180058083252663,0.27368185880250223,0.3333333333333333
안성시,0.1648159997717078,0.1979181060292018,0.1974830590513069,0.14868185880250223,0.4
안양시동안구,0.3028965671656534,0.3030891447216909,0.24927395934172317,0.22330205540661302,0.6666666666666666
안양시만안구,0.20636957216064306,0.2124705157948069,0.033881897386253634,0.13561215370866847,0.13333333333333333
양주시,0.2606317767389994,0.19428909429854865,0.17618586640851888,0.2577077747989276,0.26666666666666666
양평군,0.09334517233317931,0.03214717739491744,0.057115198451113264,0.15638963360142988,0.06666666666666667
여주시,0.0806058085001531,0.0789873675483444,0.033881897386253634,0.10087131367292225,0.13333333333333333
연천군,0.0,0.0,0.0,0.0,0.0
오산시,0.2135849230556473,0.2598852388675156,0.1243949661181026,0.1218722073279714,0.4
용인시기흥구,0.43488129353878163,0.35480195583611507,0.24056147144240078,0.4636952636282395,0.8666666666666667
용인시수지구,0.3678676519816971,0.24283106550402536,0.20183930300096806,0.49273905272564783,0.5333333333333333
용인시처인구,0.24898667893005583,0.2468382508018007,0.18489835430784124,0.3242850759606792,0.3333333333333333
의왕시,0.12584498300430352,0.12029798137737602,0.10067763794772508,0.1218722073279714,0.2
의정부시,0.46161123812304283,0.40322029337541726,0.2739593417231365,0.32026362823949955,0.6666666666666666
이천시,0.19824434510318695,0.22469812779842382,0.19457889641819942,0.21000893655049152,0.26666666666666666
파주시,0.5099016258137026,0.456857910978912,0.35382381413359154,0.5204423592493298,0.8666666666666667
평택시,0.6063660599728025,0.5236758470724275,0.41529525653436594,0.48726541554959785,0.6666666666666666
포천시,0.11123537914616517,0.14620044653571196,0.11519845111326235,0.07663092046470062,0.2
하남시,0.3169156844430932,0.2213333527268496,0.33494675701839305,0.4516309204647006,0.5333333333333333
화성시,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0
