시군구,충전소 총 개수,주거공간 충전소 개수,주거공간 외 충전소 개수
가평군,452,315,137
고양시,4,0,4
고양시덕양구,2046,1508,538
고양시일산동구,2040,1512,528
고양시일산서구,1861,1393,468
과천시,360,154,206
광명시,1344,909,435
광주남구,3,3,0
광주시,1532,1259,273
구리시,1010,796,214
군포시,1004,685,319
김포시,3759,3098,661
남양주시,5002,4062,940
대구서구,14,14,0
동두천시,461,332,129
부천시,54,4,50
부천시소사구,696,542,154
부천시오정구,270,102,168
부천시원미구,1672,1187,485
성남시,6,0,6
성남시분당구,3797,2740,1057
성남시수정구,1268,812,456
성남시중원구,860,430,430
수원시권선구,1979,1389,590
수원시영통구,2782,2084,698
수원시장안구,974,648,326
수원시팔달구,812,532,280
시흥시,3194,2374,820
안산시,4,0,4
안산시단원구,1865,1273,592
안산시상록구,668,411,257
안성시,1315,819,496
안양시동안구,1498,895,603
안양시만안구,733,575,158
안양시만얀구,3,3,0
양주시,1931,1479,452
양평군,454,248,206
여주시,564,406,158
연천군,154,66,88
오산시,1374,1029,345
용인시기흥구,3410,2825,585
용인시수지구,3015,2510,505
용인시처인구,1455,985,470
의왕시,911,615,296
의정부시,2402,1748,654
이천시,1378,888,490
파주시,2920,2101,819
평택시,4006,3060,946
포천시,608,282,326
하남시,2371,1591,780
화성시,6255,4101,2154
